price,bed,bath,surface_area,Bantul,Gunung Kidul,Kulon Progo,Sleman,Yogyakarta
550000000,3,2,88.0,True,False,False,False,False
450000000,2,1,81.0,True,False,False,False,False
645000000,3,2,93.0,True,False,False,False,False
500000000,2,1,88.0,True,False,False,False,False
650000000,2,1,108.0,True,False,False,False,False
399000000,2,1,83.0,True,False,False,False,False
399000000,2,1,83.0,True,False,False,False,False
558000000,3,2,73.0,True,False,False,False,False
558000000,3,2,73.0,True,False,False,False,False
715000000,2,2,92.0,True,False,False,False,False
715000000,2,2,92.0,True,False,False,False,False
920000000,3,3,107.0,True,False,False,False,False
920000000,3,3,107.0,True,False,False,False,False
475000000,2,1,80.0,True,False,False,False,False
335000000,2,1,75.0,True,False,False,False,False
593000000,3,2,91.0,True,False,False,False,False
595000000,3,1,93.0,True,False,False,False,False
835000000,3,2,102.0,True,False,False,False,False
835000000,3,2,102.0,True,False,False,False,False
900000000,4,5,95.0,True,False,False,False,False
345000000,2,1,80.0,True,False,False,False,False
1500000000,2,2,195.0,True,False,False,False,False
250000000,2,1,60.0,True,False,False,False,False
250000000,2,1,60.0,True,False,False,False,False
315000000,2,1,36.0,True,False,False,False,False
1900000000,2,1,180.0,True,False,False,False,False
450000000,2,1,103.0,True,False,False,False,False
335000000,2,1,75.0,True,False,False,False,False
850000000,2,1,143.0,True,False,False,False,False
430000000,2,1,81.0,True,False,False,False,False
350000000,2,1,75.0,True,False,False,False,False
440000000,2,1,88.0,True,False,False,False,False
407000000,2,1,80.0,True,False,False,False,False
298000000,2,1,61.0,True,False,False,False,False
298000000,2,1,61.0,True,False,False,False,False
835000000,3,2,102.0,True,False,False,False,False
2500000000,4,3,291.0,True,False,False,False,False
450000000,2,1,97.0,True,False,False,False,False
920000000,3,3,105.0,True,False,False,False,False
645000000,3,1,93.0,True,False,False,False,False
645000000,3,1,93.0,True,False,False,False,False
415000000,2,1,77.0,True,False,False,False,False
395000000,2,1,36.0,True,False,False,False,False
395000000,2,1,77.0,True,False,False,False,False
743000000,2,2,81.0,True,False,False,False,False
450000000,2,1,101.0,True,False,False,False,False
450000000,2,1,101.0,True,False,False,False,False
549000000,3,1,83.0,True,False,False,False,False
305000000,2,1,66.0,False,True,False,False,False
310000000,2,1,72.0,False,True,False,False,False
310000000,2,1,72.0,False,True,False,False,False
315000000,2,1,45.0,False,True,False,False,False
312000000,2,1,45.0,False,True,False,False,False
513000000,2,1,79.0,False,True,False,False,False
280000000,2,1,100.0,False,True,False,False,False
325000000,2,1,70.0,False,False,True,False,False
337000000,2,1,74.0,False,False,True,False,False
331000000,2,1,72.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
350000000,1,1,71.0,False,False,True,False,False
270000000,1,1,71.0,False,False,True,False,False
328000000,2,1,71.0,False,False,True,False,False
750000000,2,1,144.0,False,False,True,False,False
287000000,2,1,72.0,False,False,True,False,False
287000000,2,1,71.0,False,False,True,False,False
1790000000,3,3,120.0,False,False,False,True,False
695000000,2,2,100.0,False,False,False,True,False
1470000000,5,3,125.0,False,False,False,True,False
570000000,2,1,83.0,False,False,False,True,False
1850000000,4,4,166.0,False,False,False,True,False
1700000000,4,3,169.0,False,False,False,True,False
4200000000,4,3,480.0,False,False,False,True,False
3500000000,7,7,349.0,False,False,False,True,False
1850000000,4,3,135.0,False,False,False,True,False
2000000000,14,14,196.0,False,False,False,True,False
1400000000,3,2,205.0,False,False,False,True,False
765000000,3,2,109.0,False,False,False,True,False
1950000000,3,3,128.0,False,False,False,True,False
10000000000,5,3,848.0,False,False,False,True,False
1080000000,3,2,147.0,False,False,False,True,False
969000000,3,3,102.0,False,False,False,True,False
2100000000,3,3,139.0,False,False,False,True,False
2100000000,3,3,139.0,False,False,False,True,False
500000000,3,1,72.0,False,False,False,True,False
1300000000,3,2,156.0,False,False,False,True,False
2480000000,4,3,192.0,False,False,False,True,False
2450000000,4,3,187.0,False,False,False,True,False
2650000000,4,3,213.0,False,False,False,True,False
2430000000,4,3,192.0,False,False,False,True,False
2490000000,4,3,200.0,False,False,False,True,False
1200000000,3,2,100.0,False,False,False,True,False
1450000000,3,3,150.0,False,False,False,True,False
1800000000,3,2,134.0,False,False,False,True,False
3500000000,4,5,288.0,False,False,False,True,False
299000000,2,1,60.0,False,False,False,True,False
1380000000,3,2,107.0,False,False,False,True,False
750000000,7,2,60.0,False,False,False,True,False
750000000,2,1,166.0,False,False,False,True,False
1600000000,4,3,118.0,False,False,False,True,False
1450000000,3,2,100.0,False,False,False,True,False
1600000000,4,4,126.0,False,False,False,True,False
1670000000,4,2,162.0,False,False,False,True,False
2360000000,4,3,182.0,False,False,False,True,False
2460000000,4,3,196.0,False,False,False,True,False
2430000000,4,3,192.0,False,False,False,True,False
2400000000,4,3,187.0,False,False,False,True,False
2540000000,4,3,200.0,False,False,False,True,False
995000000,3,2,109.0,False,False,False,True,False
999000000,3,3,103.0,False,False,False,True,False
1300000000,3,1,126.0,False,False,False,True,False
2430000000,4,3,192.0,False,False,False,True,False
1850000000,3,2,126.0,False,False,False,True,False
3100000000,7,4,225.0,False,False,False,True,False
750000000,2,1,166.0,False,False,False,True,False
799000000,3,2,111.0,False,False,False,True,False
950000000,4,4,90.0,False,False,False,True,False
392000000,2,1,80.0,False,False,False,True,False
1300000000,10,6,236.0,False,False,False,True,False
2400000000,10,10,175.0,False,False,False,True,False
1650000000,4,3,125.0,False,False,False,True,False
1700000000,3,4,151.0,False,False,False,True,False
1100000000,3,2,138.0,False,False,False,True,False
1650000000,4,3,125.0,False,False,False,True,False
1520000000,4,2,99.0,False,False,False,True,False
850000000,3,2,114.0,False,False,False,True,False
1270000000,3,2,130.0,False,False,False,True,False
817000000,2,2,103.0,False,False,False,True,False
817000000,2,2,103.0,False,False,False,True,False
675000000,2,1,84.0,False,False,False,True,False
2200000000,4,4,150.0,False,False,False,True,False
1250000000,2,2,125.0,False,False,False,True,False
500000000,2,2,80.0,False,False,False,True,False
3900000000,14,14,502.0,False,False,False,True,False
756000000,3,1,104.0,False,False,False,True,False
2700000000,3,2,267.0,False,False,False,True,False
1780000000,4,3,118.0,False,False,False,True,False
1250000000,3,3,105.0,False,False,False,True,False
575000000,2,1,108.0,False,False,False,True,False
775000000,2,2,118.0,False,False,False,True,False
785000000,3,2,115.0,False,False,False,True,False
6000000000,34,8,1145.0,False,False,False,True,False
1500000000,2,1,120.0,False,False,False,True,False
3100000000,7,4,225.0,False,False,False,True,False
2100000000,3,3,139.0,False,False,False,True,False
1280000000,3,3,134.0,False,False,False,True,False
3100000000,7,4,225.0,False,False,False,True,False
1780000000,3,3,119.0,False,False,False,True,False
598000000,2,1,90.0,False,False,False,True,False
1820000000,3,2,140.0,False,False,False,True,False
2900000000,2,3,380.0,False,False,False,True,False
592000000,2,1,91.0,False,False,False,True,False
985000000,2,2,125.0,False,False,False,True,False
4750000000,5,5,419.0,False,False,False,True,False
1250000000,2,1,130.0,False,False,False,True,False
1250000000,10,4,128.0,False,False,False,True,False
1750000000,3,2,131.0,False,False,False,True,False
900000000,2,2,108.0,False,False,False,True,False
375000000,2,1,72.0,False,False,False,True,False
1560000000,1,1,209.0,False,False,False,True,False
475000000,2,1,90.0,False,False,False,True,False
700000000,2,2,100.0,False,False,False,True,False
495000000,2,1,107.0,False,False,False,True,False
495000000,2,1,107.0,False,False,False,True,False
897000000,3,2,107.0,False,False,False,True,False
730000000,3,2,100.0,False,False,False,True,False
1980000000,3,3,150.0,False,False,False,True,False
900000000,2,2,133.0,False,False,False,True,False
2360000000,4,3,182.0,False,False,False,True,False
850000000,2,2,106.0,False,False,False,True,False
1700000000,4,3,110.0,False,False,False,True,False
1970000000,4,3,135.0,False,False,False,True,False
1600000000,5,5,131.0,False,False,False,True,False
5000000000,9,6,438.0,False,False,False,True,False
