price,listing-location,bed,bath,surface_area,location,price_per_surface
1500000000,"Maguwoharjo, Yogyakarta",4,3,120.0,Yogyakarta,12500000.0
7700000000,"Ngaglik, Sleman",6,5,336.0,Sleman,22916666.666666668
4800000000,"Ngaglik, Sleman",20,15,300.0,Sleman,16000000.0
495000000,"Kalasan, Sleman",2,1,107.0,Sleman,4626168.224299066
2400000000,"Mlati, Sleman",3,3,199.0,Sleman,12060301.507537689
1700000000,"Godean, Sleman",5,4,148.0,Sleman,11486486.486486487
1850000000,"Ngemplak, Sleman",4,4,220.0,Sleman,8409090.909090908
6500000000,"Mlati, Sleman",8,5,816.0,Sleman,7965686.274509804
5900000000,"Mlati, Sleman",7,3,522.0,Sleman,11302681.992337165
1100000000,"Ngaglik, Sleman",3,2,180.0,Sleman,6111111.111111111
4250000000,"Umbulharjo, Yogyakarta",6,4,175.0,Yogyakarta,24285714.285714287
2000000000,"Depok, Sleman",8,4,165.0,Sleman,12121212.121212121
520000000,"Kalasan, Sleman",3,1,85.0,Sleman,6117647.05882353
650000000,"Ngaglik, Sleman",3,2,96.0,Sleman,6770833.333333333
595000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6397849.462365591
1300000000,"Jetis, Yogyakarta",4,2,181.0,Yogyakarta,7182320.441988951
750000000,"Ngemplak, Sleman",3,1,103.0,Sleman,7281553.398058252
775000000,"Kalasan, Sleman",3,2,145.0,Sleman,5344827.586206896
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
1850000000,"Ngemplak, Sleman",3,2,116.0,Sleman,15948275.862068966
698000000,"Purwomartani   , Sleman",2,1,106.0,Sleman,6584905.660377358
835000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8186274.509803922
835000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8186274.509803922
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
900000000,"Banguntapan, Bantul",4,5,95.0,Bantul,9473684.210526315
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
580000000,"Ngemplak, Sleman",2,1,151.0,Sleman,3841059.6026490065
698000000,"Kalasan, Sleman",2,1,106.0,Sleman,6584905.660377358
698000000,"Kalasan, Sleman",2,1,106.0,Sleman,6584905.660377358
720000000,"Kalasan, Sleman",3,2,87.0,Sleman,8275862.068965517
720000000,"Kalasan, Sleman",3,2,87.0,Sleman,8275862.068965517
500000000,"Kalasan, Sleman",3,2,104.0,Sleman,4807692.307692308
500000000,"Kalasan, Sleman",3,2,104.0,Sleman,4807692.307692308
1300000000,"Turi, Sleman",3,2,407.0,Sleman,3194103.194103194
1500000000,"Ngemplak, Sleman",5,3,115.0,Sleman,13043478.260869564
1500000000,"Ngemplak, Sleman",5,3,115.0,Sleman,13043478.260869564
345000000,"Sedayu, Bantul",2,1,80.0,Bantul,4312500.0
1500000000,"Kasihan, Bantul",2,2,195.0,Bantul,7692307.692307692
720000000,"Ngaglik, Sleman",2,1,91.0,Sleman,7912087.912087912
1490000000,"Maguwoharjo, Yogyakarta",5,4,126.0,Yogyakarta,11825396.825396825
720000000,"Ngaglik, Sleman",2,1,91.0,Sleman,7912087.912087912
835000000,"Condong Catur, Sleman",3,1,95.0,Sleman,8789473.684210526
1850000000,"Depok, Sleman",3,2,116.0,Sleman,15948275.862068966
756000000,"Ngaglik, Sleman",2,1,95.0,Sleman,7957894.736842105
756000000,"Ngaglik, Sleman",2,1,95.0,Sleman,7957894.736842105
2300000000,"Gamping, Sleman",4,4,182.0,Sleman,12637362.637362637
4000000000,"Depok, Sleman",13,12,235.0,Sleman,17021276.59574468
4000000000,"Depok, Sleman",13,12,235.0,Sleman,17021276.59574468
250000000,"Plered, Bantul",2,1,60.0,Bantul,4166666.6666666665
250000000,"Plered, Bantul",2,1,60.0,Bantul,4166666.6666666665
666000000,"Gamping, Sleman",2,1,87.0,Sleman,7655172.413793104
2200000000,"Mlati, Sleman",2,2,174.0,Sleman,12643678.16091954
950000000,"Purwomartani   , Sleman",3,2,141.0,Sleman,6737588.652482269
680000000,"Kalasan, Sleman",3,1,97.0,Sleman,7010309.278350515
1470000000,"Maguwoharjo, Yogyakarta",3,3,178.0,Yogyakarta,8258426.9662921345
399000000,"Turi, Sleman",2,1,90.0,Sleman,4433333.333333333
2000000000,"Prambanan, Sleman",5,3,1200.0,Sleman,1666666.6666666667
1800000000,"Umbulharjo, Yogyakarta",3,3,333.0,Yogyakarta,5405405.405405405
299000000,"Ngaglik, Sleman",2,1,88.0,Sleman,3397727.272727273
5250000000,"Caturtunggal, Yogyakarta",5,4,448.0,Yogyakarta,11718750.0
299000000,"Ngaglik, Sleman",2,1,88.0,Sleman,3397727.272727273
3000000000,"Gamping, Sleman",4,4,243.0,Sleman,12345679.01234568
4000000000,"Kraton, Yogyakarta",3,3,183.0,Yogyakarta,21857923.49726776
1770000000,"Ngaglik, Sleman",3,3,121.0,Sleman,14628099.173553718
315000000,"Sedayu, Bantul",2,1,36.0,Bantul,8750000.0
4850000000,"Godean, Sleman",4,5,222.0,Sleman,21846846.846846845
750000000,"Prambanan, Sleman",3,2,185.0,Sleman,4054054.054054054
535000000,"Sewon, Bantul",3,2,100.0,Bantul,5350000.0
2600000000,"Sleman, Sleman",14,5,203.0,Sleman,12807881.773399014
1950000000,"Depok, Sleman",3,4,128.0,Sleman,15234375.0
270000000,"Kalasan, Sleman",2,1,61.0,Sleman,4426229.508196721
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
227000000,"Condong Catur, Sleman",2,1,60.0,Sleman,3783333.3333333335
245000000,"Kalasan, Sleman",2,1,75.0,Sleman,3266666.6666666665
592000000,"Prambanan, Sleman",2,1,90.0,Sleman,6577777.777777778
250000000,"Ngaglik, Sleman",2,1,88.0,Sleman,2840909.090909091
1900000000,"Banguntapan, Bantul",4,2,432.0,Bantul,4398148.148148148
1950000000,"Kaliurang, Sleman",4,2,665.0,Sleman,2932330.827067669
