price,listing-location,bed,bath,surface_area,location
1000000000,"Ngaglik, Sleman",6,6,131.0,Sleman
999000000,"Ngemplak, Sleman",3,3,103.0,Sleman
7250000000,"Turi, Sleman",5,7,2770.0,Sleman
1200000000,"Kaliurang, Sleman",4,2,766.0,Sleman
695000000,"Pogung, Yogyakarta",2,2,100.0,Yogyakarta
675000000,"Bantul, Bantul",2,1,85.0,Bantul
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta
725000000,"Cebongan, Sleman",3,2,114.0,Sleman
815000000,"Umbulharjo, Yogyakarta",2,2,75.0,Yogyakarta
455000000,"Sedayu, Bantul",2,1,83.0,Bantul
1300000000,"Mlati, Sleman",3,1,126.0,Sleman
690000000,"Bantul, Bantul",3,2,76.0,Bantul
11000000000,"Ngaglik, Sleman",4,3,340.0,Sleman
2430000000,"Sleman, Sleman",4,3,192.0,Sleman
575000000,"Kalasan, Sleman",3,2,98.0,Sleman
4200000000,"Mlati, Sleman",4,4,564.0,Sleman
1850000000,"Depok, Sleman",3,2,126.0,Sleman
580000000,"Sleman, Yogyakarta",3,2,90.0,Yogyakarta
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta
3100000000,"Mlati, Sleman",7,4,225.0,Sleman
750000000,"Depok, Sleman",2,1,166.0,Sleman
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta
799000000,"Mlati, Sleman",3,2,111.0,Sleman
799000000,"Umbulharjo, Yogyakarta",3,2,75.0,Yogyakarta
8900000000,"Ngaglik, Sleman",7,6,1050.0,Sleman
3990000000,"Depok, Sleman",13,11,235.0,Sleman
950000000,"Depok, Sleman",4,4,90.0,Sleman
800000000,"Bantul, Yogyakarta",3,2,101.0,Yogyakarta
4000000000,"Mlati, Sleman",15,15,207.0,Sleman
1700000000,"Gamping, Sleman",10,10,100.0,Sleman
392000000,"Sayegan, Sleman",2,1,80.0,Sleman
1450000000,"Danurejan, Yogyakarta",3,3,110.0,Yogyakarta
1300000000,"Gamping, Sleman",10,6,236.0,Sleman
4200000000,"Mlati, Sleman",4,4,564.0,Sleman
235000000,"Depok, Sleman",2,1,73.0,Sleman
2400000000,"Ngaglik, Sleman",10,10,175.0,Sleman
1880000000,"Mlati, Sleman",3,3,121.0,Sleman
2660000000,"Mlati, Sleman",3,3,153.0,Sleman
320000000,"Ngaglik, Sleman",2,1,94.0,Sleman
1650000000,"Ngaglik, Sleman",4,3,125.0,Sleman
1990000000,"Sleman, Yogyakarta",3,3,172.0,Yogyakarta
1800000000,"Ngaglik, Sleman",3,3,95.0,Sleman
550000000,"Kalasan, Sleman",3,1,116.0,Sleman
1700000000,"Ngaglik, Sleman",3,4,151.0,Sleman
1100000000,"Ngaglik, Sleman",3,2,138.0,Sleman
2200000000,"Ngaglik, Sleman",5,4,114.0,Sleman
750000000,"Sleman, Sleman",3,2,130.0,Sleman
237000000,"Kalasan, Sleman",2,1,60.0,Sleman
750000000,"Sleman, Sleman",3,2,130.0,Sleman
1650000000,"Ngaglik, Sleman",4,3,125.0,Sleman
1520000000,"Ngaglik, Sleman",4,2,99.0,Sleman
350000000,"Godean, Sleman",2,1,104.0,Sleman
850000000,"Ngaglik, Sleman",3,2,114.0,Sleman
2950000000,"Wirobrajan, Yogyakarta",4,3,213.0,Yogyakarta
895000000,"Kotagede, Yogyakarta",3,2,91.0,Yogyakarta
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul
1200000000,"Umbulharjo, Yogyakarta",3,2,115.0,Yogyakarta
1270000000,"Depok, Sleman",3,2,130.0,Sleman
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul
817000000,"Gamping, Sleman",2,2,103.0,Sleman
4500000000,"Depok, Sleman",20,15,235.0,Sleman
817000000,"Gamping, Sleman",2,2,103.0,Sleman
470000000,"Gondokusuman, Yogyakarta",3,3,147.0,Yogyakarta
765000000,"Umbulharjo, Yogyakarta",2,1,101.0,Yogyakarta
675000000,"Kalasan, Sleman",2,1,84.0,Sleman
2200000000,"Ngaglik, Sleman",4,4,150.0,Sleman
725000000,"Maguwoharjo, Yogyakarta",3,2,100.0,Yogyakarta
800000000,"Ngemplak, Sleman",3,2,120.0,Sleman
884000000,"Maguwoharjo, Yogyakarta",4,2,104.0,Yogyakarta
3400000000,"Condong Catur, Sleman",4,3,421.0,Sleman
1250000000,"Ngaglik, Sleman",2,2,125.0,Sleman
500000000,"Ngemplak, Sleman",2,2,80.0,Sleman
500000000,"Kalasan, Sleman",3,2,108.0,Sleman
3900000000,"Ngaglik, Sleman",14,14,502.0,Sleman
690000000,"Seturan, Yogyakarta",2,1,87.0,Yogyakarta
875000000,"Maguwoharjo, Yogyakarta",3,2,112.0,Yogyakarta
756000000,"Ngaglik, Sleman",3,1,104.0,Sleman
4500000000,"Ngaglik, Sleman",5,2,503.0,Sleman
1300000000,"Ngemplak, Sleman",5,6,320.0,Sleman
850000000,"Kasihan, Bantul",3,2,80.0,Bantul
6500000000,"Pakem, Sleman",9,6,2367.0,Sleman
1290000000,"Banguntapan, Bantul",4,3,99.0,Bantul
2700000000,"Ngaglik, Sleman",3,2,267.0,Sleman
6500000000,"Kalasan, Sleman",5,4,778.0,Sleman
1780000000,"Depok, Sleman",4,3,118.0,Sleman
1250000000,"Mlati, Sleman",3,3,105.0,Sleman
575000000,"Kalasan, Sleman",2,1,108.0,Sleman
8900000000,"Ngaglik, Sleman",17,17,550.0,Sleman
775000000,"Gamping, Sleman",2,2,118.0,Sleman
575000000,"Kalasan, Sleman",3,2,101.0,Sleman
785000000,"Ngemplak, Sleman",3,2,115.0,Sleman
2450000000,"Depok, Sleman",8,5,150.0,Sleman
6000000000,"Caturtunggal, Sleman",34,8,1145.0,Sleman
1850000000,"Tegalrejo, Yogyakarta",4,3,147.0,Yogyakarta
8500000000,"Depok, Sleman",17,15,389.0,Sleman
900000000,"Banguntapan, Bantul",3,3,98.0,Bantul
3500000000,"Mlati, Sleman",14,5,203.0,Sleman
750000000,"Sleman, Sleman",3,2,130.0,Sleman
2200000000,"Umbulharjo, Yogyakarta",5,6,495.0,Yogyakarta
2800000000,"Depok, Sleman",7,3,140.0,Sleman
4500000000,"Purwomartani   , Sleman",3,2,668.0,Sleman
2800000000,"Ngaglik, Sleman",4,4,154.0,Sleman
1500000000,"Kalasan, Sleman",2,1,120.0,Sleman
275000000,"Bantul, Bantul",2,1,70.0,Bantul
1700000000,"Ngaglik, Sleman",6,5,162.0,Sleman
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta
6000000000,"Gamping, Sleman",6,6,688.0,Sleman
5200000000,"Umbulharjo, Yogyakarta",12,12,525.0,Yogyakarta
305000000,"Wonosari, Gunung Kidul",2,1,66.0,Gunung Kidul
