price,listing-location,bed,bath,surface_area,location,price_per_surface
1250000000,"Ngaglik, Sleman",3,2,133.0,Sleman,9398496.240601504
1300000000,"Depok, Sleman",5,2,170.0,Sleman,7647058.823529412
1400000000,"Depok, Sleman",3,2,113.0,Sleman,12389380.530973451
1100000000,"Gamping, Sleman",2,1,150.0,Sleman,7333333.333333333
1290000000,"Ngaglik, Sleman",4,3,109.0,Sleman,11834862.385321101
1300000000,"Ngemplak, Sleman",3,2,140.0,Sleman,9285714.285714285
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
1950000000,"Condong Catur, Sleman",3,3,128.0,Sleman,15234375.0
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
520000000,"Sleman, Sleman",2,1,90.0,Sleman,5777777.777777778
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
1970000000,"Depok, Sleman",5,6,166.0,Sleman,11867469.879518073
1970000000,"Depok, Sleman",5,6,166.0,Sleman,11867469.879518073
1970000000,"Depok, Sleman",5,6,166.0,Sleman,11867469.879518073
1970000000,"Depok, Sleman",5,6,166.0,Sleman,11867469.879518073
450000000,"Sayegan, Sleman",2,1,83.0,Sleman,5421686.746987952
674000000,"Sleman, Sleman",3,2,125.0,Sleman,5392000.0
1450000000,"Depok, Sleman",3,3,110.0,Sleman,13181818.181818182
450000000,"Godean, Sleman",2,1,83.0,Sleman,5421686.746987952
825000000,"Ngemplak, Sleman",3,2,163.0,Sleman,5061349.693251533
2200000000,"Sleman, Sleman",10,10,230.0,Sleman,9565217.391304348
725000000,"Ngaglik, Sleman",2,1,114.0,Sleman,6359649.1228070175
1450000000,"Godean, Sleman",3,3,100.0,Sleman,14500000.0
698000000,"Ngemplak, Sleman",3,2,120.0,Sleman,5816666.666666667
2240000000,"Ngaglik, Sleman",10,10,230.0,Sleman,9739130.43478261
1850000000,"Condong Catur, Sleman",5,3,122.0,Sleman,15163934.426229509
950000000,"Purwomartani   , Sleman",3,2,141.0,Sleman,6737588.652482269
667000000,"Kalasan, Sleman",2,1,100.0,Sleman,6670000.0
1770000000,"Ngaglik, Sleman",3,3,157.0,Sleman,11273885.350318471
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
2210000000,"Sleman, Sleman",10,10,230.0,Sleman,9608695.652173912
1380000000,"Sleman, Sleman",3,2,107.0,Sleman,12897196.261682242
1920000000,"Kalasan, Sleman",3,3,150.0,Sleman,12800000.0
1310000000,"Mlati, Sleman",4,2,101.0,Sleman,12970297.02970297
756000000,"Ngaglik, Sleman",3,1,104.0,Sleman,7269230.769230769
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
550000000,"Depok, Sleman",3,1,104.0,Sleman,5288461.538461538
1600000000,"Gamping, Sleman",5,4,143.0,Sleman,11188811.188811189
556000000,"Berbah, Sleman",2,1,84.0,Sleman,6619047.619047619
1650000000,"Depok, Sleman",3,3,130.0,Sleman,12692307.692307692
1480000000,"Sleman, Sleman",3,2,125.0,Sleman,11840000.0
3900000000,"Pakem, Sleman",4,4,450.0,Sleman,8666666.666666666
470000000,"Berbah, Sleman",2,1,90.0,Sleman,5222222.222222222
470000000,"Berbah, Sleman",2,1,90.0,Sleman,5222222.222222222
1950000000,"Depok, Sleman",3,3,128.0,Sleman,15234375.0
775000000,"Gamping, Sleman",3,2,80.0,Sleman,9687500.0
885000000,"Ngemplak, Sleman",4,2,145.0,Sleman,6103448.275862069
885000000,"Ngemplak, Sleman",4,2,142.0,Sleman,6232394.366197183
757000000,"Ngaglik, Sleman",2,1,95.0,Sleman,7968421.052631579
750000000,"Kalasan, Sleman",2,2,100.0,Sleman,7500000.0
4800000000,"Depok, Sleman",5,4,386.0,Sleman,12435233.160621762
961000000,"Ngaglik, Sleman",3,3,107.0,Sleman,8981308.411214953
1350000000,"Ngaglik, Sleman",3,3,106.0,Sleman,12735849.056603774
950000000,"Kalasan, Sleman",3,2,141.0,Sleman,6737588.652482269
495000000,"Kalasan, Sleman",2,1,107.0,Sleman,4626168.224299066
2400000000,"Mlati, Sleman",3,3,199.0,Sleman,12060301.507537689
1700000000,"Godean, Sleman",5,4,148.0,Sleman,11486486.486486487
1850000000,"Ngemplak, Sleman",4,4,220.0,Sleman,8409090.909090908
6500000000,"Mlati, Sleman",8,5,816.0,Sleman,7965686.274509804
5900000000,"Mlati, Sleman",7,3,522.0,Sleman,11302681.992337165
1100000000,"Ngaglik, Sleman",3,2,180.0,Sleman,6111111.111111111
2000000000,"Depok, Sleman",8,4,165.0,Sleman,12121212.121212121
520000000,"Kalasan, Sleman",3,1,85.0,Sleman,6117647.05882353
650000000,"Ngaglik, Sleman",3,2,96.0,Sleman,6770833.333333333
750000000,"Ngemplak, Sleman",3,1,103.0,Sleman,7281553.398058252
775000000,"Kalasan, Sleman",3,2,145.0,Sleman,5344827.586206896
675000000,"Kalasan, Sleman",3,2,125.0,Sleman,5400000.0
698000000,"Purwomartani   , Sleman",2,1,106.0,Sleman,6584905.660377358
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
698000000,"Kalasan, Sleman",2,1,106.0,Sleman,6584905.660377358
698000000,"Kalasan, Sleman",2,1,106.0,Sleman,6584905.660377358
720000000,"Kalasan, Sleman",3,2,87.0,Sleman,8275862.068965517
720000000,"Kalasan, Sleman",3,2,87.0,Sleman,8275862.068965517
500000000,"Kalasan, Sleman",3,2,104.0,Sleman,4807692.307692308
500000000,"Kalasan, Sleman",3,2,104.0,Sleman,4807692.307692308
1500000000,"Ngemplak, Sleman",5,3,115.0,Sleman,13043478.260869564
1500000000,"Ngemplak, Sleman",5,3,115.0,Sleman,13043478.260869564
720000000,"Ngaglik, Sleman",2,1,91.0,Sleman,7912087.912087912
720000000,"Ngaglik, Sleman",2,1,91.0,Sleman,7912087.912087912
835000000,"Condong Catur, Sleman",3,1,95.0,Sleman,8789473.684210526
756000000,"Ngaglik, Sleman",2,1,95.0,Sleman,7957894.736842105
756000000,"Ngaglik, Sleman",2,1,95.0,Sleman,7957894.736842105
2300000000,"Gamping, Sleman",4,4,182.0,Sleman,12637362.637362637
666000000,"Gamping, Sleman",2,1,87.0,Sleman,7655172.413793104
2200000000,"Mlati, Sleman",2,2,174.0,Sleman,12643678.16091954
950000000,"Purwomartani   , Sleman",3,2,141.0,Sleman,6737588.652482269
680000000,"Kalasan, Sleman",3,1,97.0,Sleman,7010309.278350515
3000000000,"Gamping, Sleman",4,4,243.0,Sleman,12345679.01234568
1770000000,"Ngaglik, Sleman",3,3,121.0,Sleman,14628099.173553718
2600000000,"Sleman, Sleman",14,5,203.0,Sleman,12807881.773399014
1950000000,"Depok, Sleman",3,4,128.0,Sleman,15234375.0
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
592000000,"Prambanan, Sleman",2,1,90.0,Sleman,6577777.777777778
3000000000,"Depok, Sleman",3,3,200.0,Sleman,15000000.0
1500000000,"Depok, Sleman",5,3,158.0,Sleman,9493670.88607595
1900000000,"Depok, Sleman",14,4,329.0,Sleman,5775075.987841945
725000000,"Mlati, Sleman",2,1,114.0,Sleman,6359649.1228070175
725000000,"Cebongan, Sleman",3,2,71.0,Sleman,10211267.605633803
756000000,"Ngaglik, Sleman",3,2,104.0,Sleman,7269230.769230769
735000000,"Ngaglik, Sleman",3,2,70.0,Sleman,10500000.0
640000000,"Ngaglik, Sleman",2,1,95.0,Sleman,6736842.105263158
820000000,"Purwomartani   , Sleman",3,2,109.0,Sleman,7522935.779816514
999000000,"Ngemplak, Sleman",3,3,100.0,Sleman,9990000.0
3500000000,"Ngaglik, Sleman",15,13,342.0,Sleman,10233918.12865497
789000000,"Ngaglik, Sleman",2,1,93.0,Sleman,8483870.967741935
450000000,"Godean, Sleman",2,1,82.0,Sleman,5487804.87804878
1450000000,"Depok, Sleman",3,3,110.0,Sleman,13181818.181818182
699000000,"Ngaglik, Sleman",3,2,117.0,Sleman,5974358.974358974
450000000,"Godean, Sleman",2,1,83.0,Sleman,5421686.746987952
999000000,"Ngaglik, Sleman",3,2,137.0,Sleman,7291970.802919708
1820000000,"Gamping, Sleman",3,3,140.0,Sleman,13000000.0
1850000000,"Godean, Sleman",3,3,329.0,Sleman,5623100.303951368
775000000,"Purwomartani   , Sleman",3,2,145.0,Sleman,5344827.586206896
