iter	RMSE
415	251725097.3
416	251216152.5
417	250884552.2
418	250833462.6
419	250559397.4
420	250510113.1
421	250240552
422	249878211.2
423	249435239.3
424	249076049
425	249028659.5
426	248780932.5
427	248272171.3
428	247953488.8
429	247907671.3
430	247513712.4
431	247107355.8
432	246408589.7
433	246366921.1
434	246073034.3
435	245747665.6
436	245483215.7
437	245439049.5
438	245398796.2
439	244819019.4
440	244506740.2
441	244006104
442	243963567.2
443	243924662.9
444	243568900.1
445	243283787.6
446	242955042.4
447	242913735.3
448	242510854
449	242243354
450	242205367.1
451	241938578.1
452	241619996
453	241258700.9
454	241008123.1
455	240801913.4
456	240508302.7
457	240226573.6
458	239777946.6
459	239517751.4
460	239481759.1
461	239050901.2
462	238626937.7
463	238220223.4
464	238184947.6
465	237918315.7
466	237453631.6
467	237213688.4
468	237173771.6
469	236956931.8
470	236717615.2
471	236373780.2
472	236007548
473	235656140
474	235318940.7
475	234751375.9
476	234716313.9
477	234559635.7
478	234520518.2
479	234496340.8
480	234320930
481	234297292.6
482	233980578.7
483	233756440.3
484	233356891.2
485	233201741.9
486	233166240
487	232881889.9
488	232547328.6
489	232243759.7
490	232212703.9
491	232117519.6
492	231825985.5
493	231683975.8
494	231366975.3
495	231345629.6
496	231073601.8
497	231053114.2
498	230768785.5
499	230727000.7
500	230465629.3
501	230139983.3
502	229959895.8
503	229660755.2
504	229355483.3
505	229314988.4
506	229181275.7
507	229021734.4
508	228733013
509	228455374.7
510	228099020.7
511	227839941.5
512	227568786.8
513	227350134.6
514	227226044.3
515	227188609.2
516	227169555
517	227151242.2
518	226856991.4
519	226822292.2
520	226640094.8
521	226262884
522	226076748.6
523	225883678.7
524	225601197.7
525	225583602.6
526	225354162.5
527	225152264.1
528	224875453.2
529	224697032.7
530	224665379.9
531	224648584.7
532	224390723.3
533	224365666.3
534	224185964.3
535	224156571.2
536	223890335.6
537	223719176.9
538	223556400.3
539	223528856.3
540	223367326.2
541	223200198.2
542	223044068.3
543	223028887.4
544	222780378.3
545	222516568.2
546	222258366.6
547	222114210.4
548	221951509.4
549	221706501.2
550	221560346.2
551	221418360.6
552	221280408.6
553	221146360
554	221007749
555	220878087.1
556	220752060.4
557	220629553.8
558	220340658.8
559	220208719.7
560	220090013.2
561	219862059.3
562	219639929.8
563	219415089.8
564	219284397.7
565	219053981.8
566	219038652.3
567	218794094.6
568	218769508.1
569	218654306.2
570	218574458.5
571	218453709.9
572	218342122.8
573	218318769.9
574	218203357.1
575	218001016.9
576	217800436.8
577	217597239.7
578	217393431.4
579	217315446.8
580	217047444.8
581	216812818.4
582	216790629.3
583	216582309.9
584	216319477.2
585	216108303.4
586	215967469.3
587	215862566.4
588	215558146
589	215450296.8
590	215429377.9
591	215171653
592	214971015.4
593	214882334.8
594	214742805
595	214543091.9
596	214524375.3
597	214310216.2
598	214152103.6
599	214047699.3
600	213901373.9
601	213661901.6
602	213576230.2
603	213387108.7
604	213340057
605	212930713.8
606	212911265.2
607	212892685
608	212757698.9
609	212580043.7
610	212562400
611	212308977.8
612	212229404.4
613	211896948.9
614	211778733.2
615	211438660.9
616	211291507.5
617	210995810.5
618	210716403
619	210555808.3
620	210368386.8
621	210049340.3
622	209860422.2
623	209772531
624	209462719.8
625	209377227.9
626	209301267.2
627	209206812.4
628	209049009.9
629	208985086.2
630	208857989.2
631	208844233.1
632	208676600.4
633	208488904.7
634	208341211.2
635	208096871.4
636	208074824.4
637	207867150.3
638	207785799.4
639	207601249.5
640	207534695.2
641	207266445.8
642	207101833.9
643	206793412.4
644	206583348.7
645	206352074.6
646	206237909.9
647	205990862.9
648	205849101.1
649	205741471.8
650	205549589.5
651	205422381.8
652	205360094.3
653	205094063.8
654	204868718.9
655	204803982.5
656	204642019.9
657	204580916.6
658	204540858.2
659	204480789.3
660	204209641.8
661	204068116.6
662	203968443.2
663	203715127.9
664	203474996.1
665	203273821.1
666	203215686
667	203190591.7
668	203089438.6
669	202978085.9
670	202967469.9
671	202829356.7
672	202698618.9
673	202577452.2
674	202486999.5
675	202353869.1
676	202167371.3
677	202086985
678	202002492.7
679	201990412
680	201889387.4
681	201748829.2
682	201723885.1
683	201626167.3
684	201451265.3
685	201424213.7
686	201136855.8
687	201022983.3
688	200998346.1
689	200779112.7
690	200657186.4
691	200633028.4
692	200434554.8
693	200295096.2
694	200241781.4
695	200075427.6
696	199945985.4
697	199923854.3
698	199831160.6
699	199811166.5
700	199786244.9
701	199561607.4
702	199427065.5
703	199245468
704	198890024.1
705	198792535.2
706	198526167
707	198474708
708	198410327.2
709	198347416.7
710	198131103.8
711	198065818.8
712	197951763.8
713	197927931.1
714	197680722
715	197608873.9
716	197443668.2
717	197364530.8
718	197341894.4
719	197326145.6
720	197276319
721	197174295.9
722	197093841.7
723	197073740.9
724	196916699.4
725	196734193.6
726	196650362
727	196628997.1
728	196615058.9
729	196433143
730	196374652.4
731	196252637.5
732	196172677.5
733	196076572.4
734	196055580
735	195934616.9
736	195913339.3
737	195892875.5
738	195811450.4
739	195793279
740	195714659.3
741	195640166.9
742	195482502.4
743	195302038
744	194994012.3
745	194875802.3
746	194729614.8
747	194684031.4
748	194510011.8
749	194398499.7
750	194298556.7
751	194222088.2
752	194152011.2
753	193952988.5
754	193910391.4
755	193711761.8
756	193588703.5
757	193500568
758	193312596.3
759	193252628.8
760	193163273.1
761	193142957.3
762	193012879.8
763	192792247.1
764	192718673.3
765	192580666.1
766	192508171
767	192492679.8
768	192355294.4
769	192331705.5
770	192310084.3
771	192145681.1
772	192099900.1
773	192083723.5
774	192024013.4
775	191953793.6
776	191894240.8
777	191765260.3
778	191686469.1
779	191538380.1
780	191424696.6
781	191325902.4
782	191248475.8
783	191211169
784	191112604.3
785	191094164.5
786	190965857.4
787	190912826
788	190855914.8
789	190736278
790	190611759.7
791	190485770.5
792	190427039.2
793	190370545.7
794	190214178.9
795	190101647.7
796	189985401.3
797	189934125
798	189853293.7
799	189740884
800	189722351.9
801	189511460.6
802	189396922.4
803	189340239
804	189253242
805	189211877.4
806	189134081.5
807	189079879.3
808	189006929
809	188953972.5
810	188837649.4
811	188819691.1
812	188768374.9
813	188732274.5
814	188679544.5
815	188625718.7
816	188560567.8
817	188424007.9
818	188222014.1
819	188046922
820	187976557.3
821	187818280
822	187772691.3
823	187664364.6
824	187602140
825	187511890.9
826	187495956
827	187452875
828	187392691.9
829	187210126.2
830	186989683.2
831	186958379.9
832	186910850.6
833	186854263.8
834	186807171.6
835	186735291
836	186585080.2
837	186530277.4
838	186475392.9
839	186455657.5
840	186403043.4
841	186363317.6
842	186318605.3
843	186261600.7
844	186177128.6
845	186046238.8
846	186008670
847	185955107
848	185906598.3
849	185789314
850	185674022.5
851	185655561
852	185595822.8
853	185515317.2
854	185437260.1
855	185419477.5
856	185367476.3
857	185317194.9
858	185278555.1
859	185128160.5
860	185097584.1
861	185051747.8
862	185007233.9
863	184971039.2
864	184736475.8
865	184721326.7
866	184698648.8
867	184547058.1
868	184442210.7
869	184411525.5
870	184368176.3
871	184332446.4
872	184317384.6
873	184268903.2
874	184209007.7
875	184003151.7
876	183923873
877	183816305.5
878	183620089.9
879	183567567.5
880	183484810
881	183453774.1
882	183335191.1
883	183202095.4
884	183097452.6
885	183077251.4
886	182975545.2
887	182766642.3
888	182726029.3
889	182675043
890	182578017.6
891	182542971.6
892	182421333.8
893	182391026.3
894	182353105.9
895	182311499.8
896	182193704.4
897	182160304.6
898	182102354.5
899	182061721.9
900	182033033.6
901	181990016
902	181983763.4
903	181920551.5
904	181898563.6
905	181872742.9
906	181836783.6
907	181689218.9
908	181670213.8
909	181617788.5
910	181586293.7
911	181565846.2
912	181545756.7
913	181446282.7
914	181357489.8
915	181316898.1
916	181269795.1
917	181249093.3
918	181155243.9
919	181124814.5
920	181119081.6
921	180918742.3
922	180891706.1
923	180815702.9
924	180721114.7
925	180652038.9
926	180573165.1
927	180486564.2
928	180452200.8
929	180446781.9
930	180411196.7
931	180382472.7
932	180178227.2
933	180065399.3
934	180031992.4
935	179974214.8
936	179944422.2
937	179834240.9
938	179797145.6
939	179745924.6
940	179680416.7
941	179536241.1
942	179507755.7
943	179411134.5
944	179400883.7
945	179379500.9
946	179333978.9
947	179198986.3
948	179061084.7
949	179027568
950	178982888.2
951	178957413.6
952	178913372.6
953	178893828.4
954	178863404.2
955	178767292.1
956	178742064.1
957	178724605.3
958	178638881.8
959	178610439.3
960	178564746.9
961	178555318.3
962	178541397.8
963	178447822.1
964	178356739
965	178256365.2
966	178239776.1
967	178128841.4
968	178078476.7
969	178011915.7
970	177915468.6
971	177890045.9
972	177869896
973	177854691.3
974	177831881.7
975	177768677.7
976	177710368.8
977	177685841.5
978	177643838.2
979	177612243.8
980	177508858.1
981	177471878.4
982	177283065.8
983	177269548.1
984	177219382.5
985	177208205.9
986	177153375.7
987	177129967.4
988	177116205.1
989	177094312.8
990	177053657.2
991	177010212
992	176994758.8
993	176971835.5
994	176963451.7
995	176877531.8
996	176772269.7
997	176688579.8
998	176480793.5
999	176434818.6
